%Y-%m-%d (%H%M%S)  : {{$FOLDER}: {$No_of_files}}
2023-10-20 (161608): {HM: 3, JS: 1, SH: 3, JK: 1}
2023-10-24 (000155): {HM: 3, JS: 1, SH: 3, JK: 1}
2023-10-24 (002105): {HM: 3, JS: 1, SH: 3, JK: 1}
2023-10-24 (002232): {HM: 3, JS: 1, SH: 3, JK: 1}
2023-10-24 (002408): {HM: 3, JS: 1, SH: 3, JK: 1}
2023-10-24 (004005): {HM: 3, JS: 1, SH: 3, JK: 1}
2023-10-24 (004025): {HM: 3, JS: 1, SH: 3, JK: 1}
2023-10-24 (004107): {HM: 3, JS: 1, SH: 3, JK: 1}
2023-10-24 (004156): {HM: 3, JS: 1, SH: 3, JK: 1}
2023-10-24 (004234): {HM: 3, JS: 1, SH: 3, JK: 1}
2023-10-24 (140920): {HM: total=2, .py=1, .c=0, JS: total=1, .py=0, .c=0, SH: total=3, .py=1, .c=0, JK: total=1, .py=0, .c=0}
